id;name;price;image;image_content_type
1;Refined Metal Mouse Intelligent Rubber Car;18032;../fake-data/blob/hipster.png;image/png
2;Global Finland;15342;../fake-data/blob/hipster.png;image/png
3;impactful payment;11641;../fake-data/blob/hipster.png;image/png
4;blue ADP UIC-Franc;1943;../fake-data/blob/hipster.png;image/png
5;Car Practical back-end;88692;../fake-data/blob/hipster.png;image/png
6;reinvent;82418;../fake-data/blob/hipster.png;image/png
7;port Soft;86879;../fake-data/blob/hipster.png;image/png
8;Corporate;60363;../fake-data/blob/hipster.png;image/png
9;mobile;79538;../fake-data/blob/hipster.png;image/png
10;Checking Account;84135;../fake-data/blob/hipster.png;image/png
